,2020-10-06 00:00:00,2020-10-07 00:00:00,2020-10-08 00:00:00,2020-10-09 00:00:00,2020-10-10 00:00:00,2020-10-11 00:00:00,2020-10-12 00:00:00,2020-10-13 00:00:00,2020-10-14 00:00:00,2020-10-15 00:00:00,2020-10-16 00:00:00,2020-10-17 00:00:00,2020-10-18 00:00:00,2020-10-19 00:00:00,2020-10-21 00:00:00,2020-10-23 00:00:00,2020-10-25 00:00:00,cqcode,group
9c7422a3a4ea092153a2fbc0fe158fa7,0.05,0.0,0.0,0.0,0.0,0.125,0.425,0.2,0.175,0.075,0.25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
36232b0e9a92abeb38a7c95bef2edb71,0.125,0.275,0.275,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.15,0.125,0.0,0.0,Other
9ef3321ad20cadc72156cab66b72a316,0.0,0.0,0.125,0.0,0.0,0.0,0.4,0.0,0.175,0.45,0.0,0.0,0.0,0.175,0.0,0.0,0.075,0.0,Other
4e88579530afedc3ba64c33a96a9e9d6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.275,0.225,0.275,0.275,0.125,0.0,Bacteroidota
e1695c6a045496cbccbd8e8d6d275877,0.2,0.2,0.125,0.125,0.175,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125,0.275,0.0,0.0,0.0,0.0,Cyanobacteria
9ac3bb1d7dedb08a012692a6f536b5af,0.0,0.0,0.0,0.0,0.425,0.175,0.175,0.0,0.475,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,Alphaproteobacteria
7041069483b0fa362520f7ca7e77650d,0.25,0.0,0.1,0.0,0.0,0.0,0.1,0.275,0.225,0.3,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
f908a38600f83fdc81be5d4d19e1c44e,0.05,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.425,0.3,0.0,0.15,0.0,0.0,0.0,0.0,Gammaproteobacteria
d2d5427ea6e035b016300288ed5695e9,0.075,0.1,0.15,0.2,0.075,0.0,0.075,0.0,0.05,0.075,0.075,0.1,0.15,0.125,0.0,0.0,0.0,-1.0,Actinobacteriota
c0fd0d090593e2b69c3a735e115e1f1b,0.075,0.1,0.075,0.15,0.0,0.1,0.25,0.05,0.175,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.2,0.0,Gammaproteobacteria
ec19ef66883b36d2b73e77929806ee7f,0.1,0.0,0.0,0.0,0.0,0.0,0.125,0.35,0.225,0.15,0.075,0.075,0.0,0.0,0.0,0.0,0.0,1.0,Other
a1b5c22937f5d5a044f7d3d1769975c3,0.075,0.2,0.0,0.075,0.0,0.1,0.225,0.0,0.1,0.05,0.1,0.0,0.0,0.05,0.0,0.0,0.05,1.0,Other
d1846621d56307859a8d6c6bf12e33cd,0.2,0.2,0.15,0.075,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.075,0.075,0.0,0.0,1.0,Verrucomicrobiota
41aa0d37a9c4bc4a849852f7c6824e02,0.15,0.225,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Actinobacteriota
8cff7bc3fb5f7586f26e4837583cb108,0.1,0.0,0.0,0.0,0.0,0.075,0.2,0.075,0.25,0.05,0.075,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
84e7ff9bf4762d8524c746622aa60588,0.075,0.15,0.0,0.125,0.0,0.1,0.075,0.0,0.075,0.025,0.0,0.0,0.0,0.025,0.25,0.0,0.0,0.0,Verrucomicrobiota
3046627c356a24ce50a771cb00466245,0.25,0.0,0.0,0.0,0.0,0.0,0.15,0.4,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bacteroidota
9af3467db68cf6063627304cecd46a65,0.0,0.0,0.0,0.0,0.0,0.275,0.4,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,Gammaproteobacteria
