"","GH2020.013.832","GH2020.014.832","GH2020.015.832","GH2020.016.832","GH2020.017.832","GH2020.018.832","GH2020.019.832","GH2020.020.832","GH2020.021.832","GH2020.022.832","GH2020.023.832","GH2020.024.832","GH2020.025.832","GH2020.026.832","GH2020.027.832","GH2020.028.832","GH2020.029.832"
"d18fb152faba6a4e58a14049a38ab109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7574574b0b200b1a73fd2e86297e2670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"456c4231e72daa4233b7c9dfe33c5758",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"b496f64ad3ceab3baacaf87cd445e078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4cc635bf37eaa30ec68e93705bfef72c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0c40419b94a8043ffe99d612ba834bb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eda01bf76d449683311f64cee076df72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1a73746dcf378faff9398c1fb8f93e18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1974d4f7587548a00686a96972ae73f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a585fc89f3aadc10df64502b65263522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52a04b412f36c53ef732ac412d4ec146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7826f4cc5e3022a1561131cab4546fc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61e6ef15190ee7e69b4d7da40666163c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3cdac8433638413d64749444874d6446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58644704474a7cd466849ddfe72158e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bd7dc95b06493538ea54738d8063da32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d265f5bd2e5e2c8d8bd4677e547a8a51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bd63efa3085a2b03fd3465eba0b7dd1e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3852dc4ff2fbe3818177012a38cb4872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91f907374f818cb3093c3b71cc1f5a20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dc9e4a485d87e4241f796ae30faaf0fe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a1bfa37cbcf88be845f257f890d9fe91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dcf08de4d10c908d25badafdbed5e562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b7546c3f79206234939d964040d6d45e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"934dffff3c45a6ee794b9adcbba5b47b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"574c059a4868df59fcecd50b4af764d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7a0d18b36552a944471b06b73d6f43e4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ae3e5cfaff4404c47bc7139de51afbd4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22b961de246bb4ba770bf89b32d545c8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5e2e17f00a89c46a3b12dfd59276e4d5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7ef5c30a4b97417bc8bee8d2fd5e75fd",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"553c1281287b694f70766cc53be150ed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67af1c55deb0ec6b85b8051010a4bb6b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06c007b830a6a5a2ed1f77b90348da04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06ed8ee1e79c444c18ddfe6d37d59aa9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1428fb1211286849d9baa0e81ef16c86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e4a2a4ad9a2d033f2acdcf8a3d17481",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6e6c2970716522b2efd3a44cff57e864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0cc179662ec26296bd5b0353e254b275",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"048e58aa0ba82ee10b7b830a90dc8611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159ddd2af0d8686a68d6bcb4cf87b8ad",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a65594686a7fa734ac36547e7aae1d9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f0feeb6e93fa900c929aa249d7c2501a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67e21231dee7a5e6d751477c744ccbd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e5e42e66c98c93ac6939a30d287bfc8b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"400d15f34c3b52973dd7bfe25b304bae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86c2464d989a2c81587565e882707296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7246f2cff9c954449d6eb7534dda92ea",0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"ea1e6f3736c559db4ad079b76d20ed07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a05a193d2df731ddbba5833f22495ec1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8730a2c75887f9513e748a1bf4ed1aa3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"614be058dd88f96e753843544f61971e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"429c17b1285ee2663d549e276da9e881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9c80f2c8279787132955120999839dba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fa33b08597d3701d183223c5013c9b3f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9c11f38e22d0cb1187839a73d70731a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1cc10907cd0dcf5964f99cd8a04cf1e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cd5ede97798bc31d98603244933672bd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e7c0c45b59360906adc7b5a1bfb75013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6a2f018e254bb5d15180efb089cb7749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2585f30d312617fd82e84f5274a43857",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1970c540e59d0ff0ff48bcbecbe2ead1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3428e60274bd8501453fc647207c28a6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57fd8f058f04fb6788bee1c063c3166d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0b50ad05ff1b81738cb3428cd2ddec2d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658c266ed463daaebcf8344d1522111d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"974ac5b49ff319ac47740156af75025d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71a9564921baabdd0f0d6d0235a60e34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f04baf3c92751191fe332f228c6d0658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a43c9b5d14ec6bafc1b66e9bc66abb9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c798d9e51f5cf82578b69b1320794b34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78abfd26b11d98471e75a04e4b5e16da",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00e125ee02f3afe470b2c13418574d90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f7576e6077b6b6e46be45e917fa4d2da",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23687121ac017a2bc8b2037862af72e0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fbd506926392da545dfed333603a3212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31720dec7877d409277f28f83a20ffb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cd8cfd7f63722f940198682d0a6e625a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ae7aec054c386a67b69c43d99726506b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3fd0f4a61eb4587600138f0176c9b8b7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8ce2a922d7f6cf9712f39e1e121d59ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c75beb42e7d164dc5880ff579f68c17f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13b3138d282ec71ede8dac77423a8fd0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f1879c1e1ffb65125c3f50dc7914f74a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44f82484eaa657ed77b76433c552e0a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9e0b3ce2ee78a2348712a2b4f46bcb04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954df395d608efbc24554450e573ea86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174e6c08d51845c6f3669634a3100e31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08c8bb865c04ef11761755250ee71bd0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0709c4b0cf495d26c407011f43239053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b4e917c87393240f39c5254efe70cf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
